,ts_code,trade_date,close
916,000016.SH,20040102,1011.347
915,000016.SH,20040109,1081.785
914,000016.SH,20040116,1083.652
913,000016.SH,20040130,1067.553
912,000016.SH,20040206,1122.084
911,000016.SH,20040213,1096.362
910,000016.SH,20040220,1124.661
909,000016.SH,20040227,1088.725
908,000016.SH,20040305,1071.581
907,000016.SH,20040312,1099.081
906,000016.SH,20040319,1129.775
905,000016.SH,20040326,1112.782
904,000016.SH,20040402,1127.805
903,000016.SH,20040409,1088.157
902,000016.SH,20040416,1071.228
901,000016.SH,20040423,1034.409
900,000016.SH,20040430,1025.954
899,000016.SH,20040514,997.947
898,000016.SH,20040521,994.45
897,000016.SH,20040528,995.637
896,000016.SH,20040604,986.225
895,000016.SH,20040611,942.862
894,000016.SH,20040618,910.187
893,000016.SH,20040625,891.79
892,000016.SH,20040702,926.617
891,000016.SH,20040709,923.202
890,000016.SH,20040716,946.178
889,000016.SH,20040723,915.043
888,000016.SH,20040730,906.265
887,000016.SH,20040806,911.555
886,000016.SH,20040813,907.001
885,000016.SH,20040820,904.827
884,000016.SH,20040827,883.704
883,000016.SH,20040903,879.417
882,000016.SH,20040910,851.969
881,000016.SH,20040917,932.315
880,000016.SH,20040924,951.091
879,000016.SH,20040930,924.355
878,000016.SH,20041008,936.008
877,000016.SH,20041015,879.718
876,000016.SH,20041022,878.74
875,000016.SH,20041029,870.79
874,000016.SH,20041105,862.261
873,000016.SH,20041112,898.166
872,000016.SH,20041119,906.991
871,000016.SH,20041126,889.083
870,000016.SH,20041203,871.558
869,000016.SH,20041210,868.427
868,000016.SH,20041217,857.251
867,000016.SH,20041224,851.775
866,000016.SH,20041231,842.728
865,000016.SH,20050107,823.616
864,000016.SH,20050114,829.042
863,000016.SH,20050121,831.847
862,000016.SH,20050128,820.689
861,000016.SH,20050204,872.884
860,000016.SH,20050218,856.212
859,000016.SH,20050225,878.503
858,000016.SH,20050304,859.489
857,000016.SH,20050311,853.898
856,000016.SH,20050318,821.028
855,000016.SH,20050325,806.425
854,000016.SH,20050401,822.91
853,000016.SH,20050408,838.056
852,000016.SH,20050415,817.094
851,000016.SH,20050422,794.819
850,000016.SH,20050429,789.732
849,000016.SH,20050513,757.304
848,000016.SH,20050520,753.071
847,000016.SH,20050527,724.522
846,000016.SH,20050603,700.434
845,000016.SH,20050610,766.663
844,000016.SH,20050617,762.178
843,000016.SH,20050624,772.319
842,000016.SH,20050701,748.046
841,000016.SH,20050708,727.556
840,000016.SH,20050715,748.519
839,000016.SH,20050722,768.724
838,000016.SH,20050729,788.632
837,000016.SH,20050805,812.329
836,000016.SH,20050812,822.329
835,000016.SH,20050819,817.685
834,000016.SH,20050826,822.197
833,000016.SH,20050902,829.463
832,000016.SH,20050909,823.639
831,000016.SH,20050916,830.621
830,000016.SH,20050923,793.163
829,000016.SH,20050930,793.652
828,000016.SH,20051014,777.492
827,000016.SH,20051021,774.058
826,000016.SH,20051028,749.964
825,000016.SH,20051104,758.924
824,000016.SH,20051111,746.45
823,000016.SH,20051118,760.566
822,000016.SH,20051125,766.678
821,000016.SH,20051202,757.021
820,000016.SH,20051209,777.031
819,000016.SH,20051216,782.04
818,000016.SH,20051223,791.441
817,000016.SH,20051230,796.396
816,000016.SH,20060106,836.895
815,000016.SH,20060113,831.136
814,000016.SH,20060120,840.376
813,000016.SH,20060125,846.989
812,000016.SH,20060210,859.97
811,000016.SH,20060217,857.994
810,000016.SH,20060224,882.777
809,000016.SH,20060303,880.371
808,000016.SH,20060310,857.143
807,000016.SH,20060317,863.267
806,000016.SH,20060324,869.439
805,000016.SH,20060331,878.366
804,000016.SH,20060407,897.312
803,000016.SH,20060414,910.633
802,000016.SH,20060421,939.873
801,000016.SH,20060428,964.446
800,000016.SH,20060512,1050.958
799,000016.SH,20060519,1096.206
798,000016.SH,20060526,1064.128
797,000016.SH,20060602,1097.509
796,000016.SH,20060609,1031.458
795,000016.SH,20060616,1047.332
794,000016.SH,20060623,1061.412
793,000016.SH,20060630,1102.696
792,000016.SH,20060707,1099.06
791,000016.SH,20060714,1059.255
790,000016.SH,20060721,1056.627
789,000016.SH,20060728,1050.639
788,000016.SH,20060804,990.834
787,000016.SH,20060811,1011.639
786,000016.SH,20060818,1008.047
785,000016.SH,20060825,1028.287
784,000016.SH,20060901,1033.739
783,000016.SH,20060908,1050.8
782,000016.SH,20060915,1094.149
781,000016.SH,20060922,1094.179
780,000016.SH,20060929,1115.718
779,000016.SH,20061013,1149.579
778,000016.SH,20061020,1152.313
777,000016.SH,20061027,1164.574
776,000016.SH,20061103,1219.003
